Year,Month,Month_Date,MCD_Drug_Cause,Deaths,County,synthetic
2021,6,2021-06-01,Other Opioids T40.2,3,"Jackson County, MO",True
2021,7,2021-07-01,Other Opioids T40.2,5,"Jackson County, MO",True
2021,8,2021-08-01,Other Opioids T40.2,2,"Jackson County, MO",True
2021,9,2021-09-01,Other Opioids T40.2,2,"Jackson County, MO",True
2021,10,2021-10-01,Other Opioids T40.2,2,"Jackson County, MO",True
2021,11,2021-11-01,Other Opioids T40.2,1,"Jackson County, MO",True
2021,12,2021-12-01,Other Opioids T40.2,2,"Jackson County, MO",True
2022,1,2022-01-01,Other Opioids T40.2,2,"Jackson County, MO",True
2022,2,2022-02-01,Other Opioids T40.2,3,"Jackson County, MO",True
2022,3,2022-03-01,Other Opioids T40.2,3,"Jackson County, MO",True
2022,4,2022-04-01,Other Opioids T40.2,4,"Jackson County, MO",True
2022,5,2022-05-01,Other Opioids T40.2,3,"Jackson County, MO",True
2022,6,2022-06-01,Other Opioids T40.2,2,"Jackson County, MO",True
2022,7,2022-07-01,Other Opioids T40.2,1,"Jackson County, MO",True
2022,8,2022-08-01,Other Opioids T40.2,2,"Jackson County, MO",True
2022,9,2022-09-01,Other Opioids T40.2,1,"Jackson County, MO",True
2022,10,2022-10-01,Other Opioids T40.2,3,"Jackson County, MO",True
2022,11,2022-11-01,Other Opioids T40.2,3,"Jackson County, MO",True
2022,12,2022-12-01,Other Opioids T40.2,1,"Jackson County, MO",True
2023,2,2023-02-01,Other Opioids T40.2,2,"Jackson County, MO",True
2023,3,2023-03-01,Other Opioids T40.2,1,"Jackson County, MO",True
2023,4,2023-04-01,Other Opioids T40.2,2,"Jackson County, MO",True
2023,7,2023-07-01,Other Opioids T40.2,1,"Jackson County, MO",True
2023,8,2023-08-01,Other Opioids T40.2,1,"Jackson County, MO",True
2023,10,2023-10-01,Other Opioids T40.2,1,"Jackson County, MO",True
2024,1,2024-01-01,Other Opioids T40.2,1,"Jackson County, MO",True
2024,2,2024-02-01,Other Opioids T40.2,1,"Jackson County, MO",True
2024,3,2024-03-01,Other Opioids T40.2,1,"Jackson County, MO",True
2024,6,2024-06-01,Other Opioids T40.2,1,"Jackson County, MO",True
2024,9,2024-09-01,Other Opioids T40.2,1,"Jackson County, MO",True
2024,11,2024-11-01,Other Opioids T40.2,1,"Jackson County, MO",True
